Model,Start Date,End Date,Average Sharpe Ratio,Average Return,Volatility,Final Portfolio Value
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.8889055198395727,0.0027062965693466,0.0219543940938804,1669714.7989909293
"best_model_layers_2_seq_60_hunits[256, 148]_lr0.001_daydecay2_maxnorm1.pth",2017-01-03,2020-12-28,0.8868033747975725,0.0031020018343434,0.0252241409723136,1785335.69408255
best_model_layers_1_seq_365_hunits[148]_lr0.001_daydecay2_maxnorm8.pth,2017-01-03,2020-12-28,0.880839995174519,0.0029054266059863,0.0237856243185359,1726207.048784581
"best_model_layers_3_seq_60_hunits[32, 64, 148]_lr0.001_daydecay2_maxnorm15.pth",2017-01-03,2020-12-28,0.8796971054091772,0.0028272759051117,0.0231759049406501,1702985.4773425704
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.001_daydecay10_maxnorm8.pth",2017-01-03,2020-12-28,0.8759474148731607,0.0031513639000166,0.025943119270011,1797475.2275174302
"best_model_layers_2_seq_365_hunits[256, 148]_lr0.001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.8752842995281579,0.0027516449965409,0.0226696563213815,1680551.5870031388
"best_model_layers_2_seq_180_hunits[64, 148]_lr0.001_daydecay2_maxnorm15.pth",2017-01-03,2020-12-28,0.8752594991553377,0.0027533338096248,0.0226842124847573,1681499.886449545
"best_model_layers_2_seq_365_hunits[64, 148]_lr0.0001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.8721911418459786,0.0027251021527354,0.0225306015416973,1672512.7442178067
"best_model_layers_3_seq_180_hunits[32, 64, 148]_lr0.001_daydecay10_maxnorm3.pth",2017-01-03,2020-12-28,0.8717142075346399,0.0031100836997198,0.0257276207119272,1783438.9026960407
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.001_daydecay10_maxnorm15.pth",2017-01-03,2020-12-28,0.8660577250970927,0.0029216912787188,0.0243270336635261,1728372.5099378591
"best_model_layers_2_seq_60_hunits[64, 148]_lr0.001_daydecay2_maxnorm1.pth",2017-01-03,2020-12-28,0.862640320019596,0.0027143603551551,0.0226902573725656,1667420.1488758237
"best_model_layers_2_seq_60_hunits[256, 148]_lr0.001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.8614880934148106,0.0027655599447636,0.0231491723737927,1682100.399398034
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.8612514948081955,0.0026956338305488,0.0225700531250372,1661864.1557835047
"best_model_layers_2_seq_30_hunits[64, 148]_lr0.001_daydecay5_maxnorm3.pth",2017-01-03,2020-12-28,0.8601311211411047,0.002892809363011,0.0242525173944212,1717591.799770456
"best_model_layers_2_seq_30_hunits[256, 148]_lr0.001_daydecay2_maxnorm15.pth",2017-01-03,2020-12-28,0.859038813272221,0.0028484158397044,0.0239106992727781,1704558.3928814454
"best_model_layers_3_seq_365_hunits[32, 64, 148]_lr0.001_daydecay10_maxnorm8.pth",2017-01-03,2020-12-28,0.8571112503677744,0.003009558718813,0.0253202096520001,1750860.2580830874
"best_model_layers_3_seq_180_hunits[32, 64, 148]_lr0.001_daydecay5_maxnorm3.pth",2017-01-03,2020-12-28,0.8566894880489733,0.0028991337457883,0.0244031834653962,1718731.2847363225
"best_model_layers_2_seq_60_hunits[32, 148]_lr0.001_daydecay2_maxnorm8.pth",2017-01-03,2020-12-28,0.8522618761733834,0.0027108720718002,0.0229370538078849,1664659.021687743
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.001_daydecay2_maxnorm1.pth",2017-01-03,2020-12-28,0.8522438505151092,0.0027650514852513,0.023395967957635,1680005.2823650832
best_model_layers_1_seq_365_hunits[148]_lr0.001_daydecay5_maxnorm15.pth,2017-01-03,2020-12-28,0.8522144992403645,0.0026167212757425,0.0221416620855359,1637735.089739883
"best_model_layers_2_seq_365_hunits[32, 148]_lr0.001_daydecay2_maxnorm8.pth",2017-01-03,2020-12-28,0.8448270144657085,0.0026022967832346,0.0222121554478497,1632365.480677424
"best_model_layers_2_seq_30_hunits[256, 148]_lr0.001_daydecay2_maxnorm8.pth",2017-01-03,2020-12-28,0.8441495587443746,0.0031606497566916,0.0269996818537347,1791654.3396304958
"best_model_layers_2_seq_60_hunits[32, 148]_lr0.001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.8433520949889483,0.0028032957447606,0.0239696482835127,1689048.5071083813
"best_model_layers_2_seq_365_hunits[64, 148]_lr0.001_daydecay2_maxnorm8.pth",2017-01-03,2020-12-28,0.8425049144930402,0.0026902605052203,0.0230262685215658,1656228.5739229664
"best_model_layers_2_seq_365_hunits[64, 148]_lr0.001_daydecay10_maxnorm8.pth",2017-01-03,2020-12-28,0.840388612455308,0.0031122428888925,0.0267051484308327,1775720.5357609272
"best_model_layers_3_seq_180_hunits[32, 64, 148]_lr0.001_daydecay5_maxnorm15.pth",2017-01-03,2020-12-28,0.840297537674736,0.0029389652104032,0.0252210420424094,1726649.830600359
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.001_daydecay10_maxnorm1.pth",2017-01-03,2020-12-28,0.8393237545527931,0.0027260141217625,0.0234207208847332,1666200.785379322
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.001_daydecay2_maxnorm8.pth",2017-01-03,2020-12-28,0.8345306239743105,0.0026137912545538,0.0225855304069542,1633315.0124764931
"best_model_layers_3_seq_60_hunits[32, 64, 148]_lr0.001_daydecay2_maxnorm3.pth",2017-01-03,2020-12-28,0.8315642350061023,0.0028182233355051,0.0244388787158422,1690607.9543162845
"best_model_layers_3_seq_180_hunits[32, 64, 148]_lr0.0001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.8307938906805988,0.0026668079524312,0.0231472882074974,1647604.424063732
best_model_layers_1_seq_30_hunits[148]_lr0.001_daydecay2_maxnorm1.pth,2017-01-03,2020-12-28,0.8307565582270945,0.0026458037230884,0.0229660082582245,1641910.93787268
"best_model_layers_3_seq_365_hunits[32, 64, 148]_lr0.001_daydecay2_maxnorm8.pth",2017-01-03,2020-12-28,0.8305548727207397,0.0026612826968533,0.023105977791876,1645887.7713165018
"best_model_layers_3_seq_30_hunits[32, 64, 148]_lr0.001_daydecay1_maxnorm15.pth",2017-01-03,2020-12-28,0.8302936673715438,0.0027490174149418,0.0238752230354681,1670071.304635042
"best_model_layers_2_seq_30_hunits[256, 148]_lr0.001_daydecay10_maxnorm1.pth",2017-01-03,2020-12-28,0.8296039055475617,0.0026616517054502,0.0231356714626189,1646234.2993028944
"best_model_layers_2_seq_60_hunits[32, 148]_lr0.001_daydecay10_maxnorm1.pth",2017-01-03,2020-12-28,0.8265750577074944,0.0028464102482336,0.0248322956404627,1695869.324479815
